Cooling system,Climate Zone,Data center size,n,pearson,spearman,paired_mean_PUE_x_WUE,indep_mean_PUE_x_WUE,rel_bias_product,frac_independent_farther_than_paired_nn_p95,nn_p95_standardized
Airside economizer& adiabatic cooling (air-cooled chiller),4C,Large-scale,50,0.2501699234182759,0.12260481255226927,0.0069423395270284335,0.007228119868790504,0.04116484661250706,0.045,0.7365483167832845
Airside economizer& adiabatic cooling (air-cooled chiller),5A,Large-scale,50,0.3210258648773985,0.24304855320291213,0.013120853057320754,0.013018232920339412,-0.007821148254082892,0.035,0.6888197734697289
Airside economizer& adiabatic cooling (air-cooled chiller),5B,Large-scale,50,0.20826819639164934,0.2615606242496999,0.027780176764975822,0.02796472042676127,0.006642998111448799,0.0285,0.8517302395494862
Airside economizer& adiabatic cooling (air-cooled chiller),5C,Large-scale,50,-0.04049179034340503,-0.0511527392272478,0.009632703746195004,0.009512344245906126,-0.012494882377797764,0.043,0.8227052018866695
Airside economizer& adiabatic cooling (air-cooled chiller),6A,Large-scale,50,0.2913602003937863,0.38410564225690275,0.01893438768625097,0.019162178365147872,0.012030527877186682,0.0435,0.9244277932711238
Airside economizer& adiabatic cooling (air-cooled chiller),6B,Large-scale,50,0.2630945241629633,0.2103721488595438,0.017408918256706988,0.017027184821024933,-0.021927464421000877,0.018,1.058410492692834
Airside economizer& adiabatic cooling (air-cooled chiller),7,Large-scale,50,-0.2064518963458755,-0.28067226890756297,0.025675419743313138,0.02577136067184189,0.0037366839369292024,0.0345,0.7953918009012507
Airside economizer& adiabatic cooling (air-cooled chiller),8,Large-scale,50,-0.2189114920275644,-0.2546458583433373,0.027259884978258184,0.027331185283912113,0.0026155761739565836,0.025,0.8193372925797722
Airside economizer& adiabatic cooling (water-cooled chiller),0A,Large-scale,50,0.34148165397929414,0.36028811524609844,2.9639779002645064,2.9429420028399416,-0.007097184301774837,0.03,1.0084198833962894
Airside economizer& adiabatic cooling (water-cooled chiller),0B,Large-scale,50,0.026681978421068092,0.09983193277310923,1.1622290093199696,1.161133195928945,-0.000942854964243039,0.05,0.7360548414632545
Airside economizer& adiabatic cooling (water-cooled chiller),1A,Large-scale,50,0.4044267720832021,0.4156062424969988,1.6440830198084069,1.619046692472707,-0.01522814057079523,0.039,0.7123856424166859
Airside economizer& adiabatic cooling (water-cooled chiller),1B,Large-scale,50,0.21536818584137313,0.24139255702280912,1.5757663164499411,1.5728937620206007,-0.0018229571221017268,0.014,1.1451420433212698
Airside economizer& adiabatic cooling (water-cooled chiller),2A,Large-scale,50,0.25020730452211676,0.2689555822328931,1.740412648718707,1.7354146221479263,-0.0028717480158859427,0.0405,0.6975070992764272
Airside economizer& adiabatic cooling (water-cooled chiller),2B,Large-scale,50,0.29922142833189525,0.34444177671068427,0.7550472621902393,0.7499476478749338,-0.0067540332515245854,0.0305,0.7918206663371028
Airside economizer& adiabatic cooling (water-cooled chiller),3A,Large-scale,50,0.051964105019895186,0.06362545018007203,0.9071168890294945,0.9157304356107149,0.009495520021059063,0.067,0.5852437320265355
Airside economizer& adiabatic cooling (water-cooled chiller),3B,Large-scale,50,0.5076803730475631,0.4999279711884754,0.4457896762335439,0.43620595993034944,-0.02149829126633619,0.033,0.9725753507086166
Airside economizer& adiabatic cooling (water-cooled chiller),3C,Large-scale,50,0.3351457139429434,0.28924746807768026,0.4836713077265688,0.49065324361232276,0.014435290607937041,0.1205,0.5691847645588616
Airside economizer& adiabatic cooling (water-cooled chiller),4A,Large-scale,50,0.25448283510380953,0.16024009603841535,0.6759369641136026,0.6738365655291181,-0.0031073882565941643,0.0205,1.0721606676396536
Airside economizer& adiabatic cooling (water-cooled chiller),4B,Large-scale,50,0.22891909255997245,0.24993997599039616,0.22851945522055758,0.22649807112646805,-0.008845566746772488,0.0825,0.6562283151014043
Airside economizer& adiabatic cooling (water-cooled chiller),4C,Large-scale,50,0.1204209025009066,0.06324129651860745,0.23728838655387288,0.2510165944068253,0.05785452904934142,0.0465,0.7061796436380209
Airside economizer& adiabatic cooling (water-cooled chiller),5A,Large-scale,50,0.1737033430293293,0.20326530612244897,0.3770434765274853,0.37224243569746285,-0.012733387868792613,0.0075,1.013503463642261
Airside economizer& adiabatic cooling (water-cooled chiller),5B,Large-scale,50,0.3372991983411456,0.4179513057745395,0.1896405471196053,0.1906167844571583,0.005147830210262452,0.0745,0.58741000656069
Airside economizer& adiabatic cooling (water-cooled chiller),5C,Large-scale,50,0.3414999001225085,0.30907781871111695,0.1706296262140176,0.1714009999697994,0.0045207492561362,0.018,0.8851537777666916
Airside economizer& adiabatic cooling (water-cooled chiller),6A,Large-scale,50,0.3995950612506037,0.40657863145258105,0.38208057450054816,0.3870154878067084,0.012915896895860559,0.0735,0.7196719707412587
