profile_id,dataset,request_rate,num_prompts,duration_s,mean_compute_W,max_compute_W,energy_compute_Wh,peak_to_mean
online_rate_000028,likaixin/InstructCoder,29.0,8700.0,179.964,2828.6620000373464,2892.0450039915654,141.40481338186694,1.0224074152208296
online_rate_000029,likaixin/InstructCoder,30.0,9000.0,179.864,2852.24232036989,2905.9079087158057,142.5043646419472,1.018815227571182
online_rate_000030,likaixin/InstructCoder,31.0,9300.0,179.867,2867.748370267782,2916.853014791907,143.2814711430431,1.0171230659681414
online_rate_000031,likaixin/InstructCoder,32.0,9600.0,179.903,2882.4852571977053,2922.2634556852627,144.04659589601076,1.013799965980131
online_rate_000032,likaixin/InstructCoder,33.0,9900.0,179.89,2886.5620979050705,2924.411710036602,144.2399043867064,1.0131123498638748
online_rate_000033,likaixin/InstructCoder,34.0,10200.0,179.899,2888.573989838216,2919.9278003466043,144.34765894386257,1.0108544252695926
online_rate_000034,likaixin/InstructCoder,35.0,10500.0,179.89,2885.067127736233,2925.7229751550376,144.16520155790857,1.0140918202657923
online_rate_000035,likaixin/InstructCoder,36.0,10800.0,179.907,2840.6138495313744,2911.6510565303333,141.9573099521225,1.0250076957875418
online_rate_000036,likaixin/InstructCoder,37.0,11100.0,179.852,2785.912259007784,3025.6842300120597,139.18108100196335,1.0860658731189443
online_rate_000037,likaixin/InstructCoder,38.0,11400.0,179.853,2817.38170134604,2882.5423268745944,140.7540419811637,1.02312807863323
online_rate_000038,likaixin/InstructCoder,39.0,11700.0,179.868,2831.6635799171577,2877.900874131868,141.47935133126092,1.0163286679048444
online_rate_000039,likaixin/InstructCoder,40.0,12000.0,179.872,2839.555970266272,2893.128745328594,141.87683652325973,1.018866602955989
online_rate_000040,likaixin/InstructCoder,41.0,12300.0,179.897,2826.790624486726,2967.984049358955,141.25865360369124,1.049948313698637
online_rate_000041,likaixin/InstructCoder,42.0,12600.0,179.899,2841.634576030864,2965.250688851509,142.00200516482678,1.043501762634557
online_rate_000042,likaixin/InstructCoder,43.0,12900.0,179.888,2854.775844955156,2937.4511994743234,142.64997699924808,1.028960366420806
online_rate_000043,likaixin/InstructCoder,44.0,13200.0,179.889,2858.180994910175,2950.457161411729,142.8209224981657,1.0322849276046124
online_rate_000044,likaixin/InstructCoder,45.0,13500.0,179.891,2863.988017051028,2957.914872884958,143.1126856598129,1.03279582710358
online_rate_000045,likaixin/InstructCoder,46.0,13800.0,179.858,2859.1896311171736,2937.9965205255367,142.84670240929796,1.0275626662011819
online_rate_000046,likaixin/InstructCoder,47.0,14100.0,179.854,2860.259846785958,2956.186714530695,142.89699291217823,1.0335378157521349
online_rate_000047,likaixin/InstructCoder,48.0,14400.0,179.955,2859.935735611851,2940.768159665609,142.96103758389742,1.028263720421139
online_rate_000048,likaixin/InstructCoder,49.0,14700.0,179.858,2848.8466151413395,2947.555251108965,142.32995958502528,1.0346486312892378
online_rate_000049,likaixin/InstructCoder,50.0,15000.0,179.893,2862.278419475295,2958.601786676057,143.02884769851923,1.0336526896004827
online_rate_000050,likaixin/InstructCoder,51.0,15300.0,179.892,2845.1114729962856,2952.047625675871,142.17022030562438,1.0375859271928518
online_rate_000051,likaixin/InstructCoder,52.0,15600.0,179.889,2827.313769588473,2936.2502108113586,141.27851297152802,1.0385300147421352
online_rate_000052,likaixin/InstructCoder,53.0,15900.0,179.893,2840.983829524358,2936.4242156025884,141.96475112350706,1.0335941321053592
online_rate_000053,likaixin/InstructCoder,54.0,16200.0,179.851,2836.301179592563,2926.698505149427,141.69766762525057,1.031871553771257
online_rate_000054,likaixin/InstructCoder,55.0,16500.0,179.961,2839.92933642983,2934.147479291644,141.96570092034688,1.033176227891733
online_rate_000055,likaixin/InstructCoder,56.0,16800.0,179.952,2839.0306095255546,2952.277072977585,141.9136767348174,1.0398891308434872
online_rate_000056,likaixin/InstructCoder,57.0,17100.0,179.876,2838.7187452252683,2968.8891069503024,141.8381591711501,1.0458553218574334
online_rate_000057,likaixin/InstructCoder,58.0,17400.0,179.965,2840.268482128086,2946.506773643622,141.98581038505029,1.0374043130725221
