SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
116,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,15-07-2024 00:00,0.5
117,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,15-07-2024 12:00,1
118,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,15-07-2024 15:00,0.5
119,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,15-07-2024 22:00,1
120,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,15-07-2024 23:00,4.5
121,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,16-07-2024 00:00,3
122,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,16-07-2024 01:00,0.5
123,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,16-07-2024 04:00,0.5
124,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,16-07-2024 16:00,0.5
125,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,16-07-2024 17:00,2
