regime,model,site_code,n_transitions,n_wells,MAE_h_ft,RMSE_h_ft,bias_h_ft,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,R2_h_secondary,R2_delta_h_secondary,delta_h_IQR_ft,B0_RMSE_delta_h_ft,B0_MAE_delta_h_ft,well_RMSE_improvement_ft_vs_B0,well_MAE_improvement_ft_vs_B0,well_RMSE_skill_vs_B0,well_MAE_skill_vs_B0
T1_TEMPORAL_OOS,B0,336906N1179435W001,13,1,12.71076923,16.85287513,-2.566153846,12.71076923,16.85287513,-2.566153846,,0.470829803,-0.0237358778,13.79,16.85287513,12.71076923,0,0,0,0
T1_TEMPORAL_OOS,B0,336928N1177446W001,4,1,1.9,2.290196498,-1.6,1.9,2.290196498,-1.6,,-4.815661816,-0.9534450652,1.95,2.290196498,1.9,0,0,0,0
T1_TEMPORAL_OOS,B0,336941N1179435W001,1,1,47.22,47.22,-47.22,47.22,47.22,-47.22,,,,0,47.22,47.22,0,0,0,0
T1_TEMPORAL_OOS,B0,336944N1177985W001,2,1,33,45.27692569,-33,33,45.27692569,-33,,-1.001953125,-1.133194589,31,45.27692569,33,0,0,0,0
T1_TEMPORAL_OOS,B0,336962N1178987W001,26,1,7.819230769,11.76842255,-1.857692308,7.819230769,11.76842255,-1.857692308,,0.7672161759,-0.02555464576,9.875,11.76842255,7.819230769,0,0,0,0
T1_TEMPORAL_OOS,B0,336963N1179065W001,19,1,16.04736842,25.9095656,-3.057894737,16.04736842,25.9095656,-3.057894737,,0.4811512042,-0.01412591803,13.45,25.9095656,16.04736842,0,0,0,0
T1_TEMPORAL_OOS,B0,336966N1179388W001,1,1,7.4,7.4,-7.4,7.4,7.4,-7.4,,,,0,7.4,7.4,0,0,0,0
T1_TEMPORAL_OOS,B0,336977N1178594W001,11,1,14.06363636,16.44624854,-2.627272727,14.06363636,16.44624854,-2.627272727,,0.3230741579,-0.02618807529,22.85,16.44624854,14.06363636,0,0,0,0
T1_TEMPORAL_OOS,B0,336978N1179845W001,4,1,1.3,1.443952908,-0.55,1.3,1.443952908,-0.55,,-6.023157895,-0.1697054698,2.3,1.443952908,1.3,0,0,0,0
T1_TEMPORAL_OOS,B0,336979N1179454W001,1,1,6.46,6.46,-6.46,6.46,6.46,-6.46,,,,0,6.46,6.46,0,0,0,0
T1_TEMPORAL_OOS,B0,337057N1180070W001,13,1,13.92307692,15.78338952,-3.076923077,13.92307692,15.78338952,-3.076923077,,0.1634609653,-0.03950568511,27,15.78338952,13.92307692,0,0,0,0
T1_TEMPORAL_OOS,B0,337059N1180056W001,13,1,12.84615385,15.12639059,-3.076923077,12.84615385,15.12639059,-3.076923077,,0.175124792,-0.04316333275,24,15.12639059,12.84615385,0,0,0,0
T1_TEMPORAL_OOS,B0,337105N1178932W001,13,1,18.29923077,25.35008861,-1.496153846,18.29923077,25.35008861,-1.496153846,,0.5861372038,-0.003495497304,19.72,25.35008861,18.29923077,0,0,0,0
T1_TEMPORAL_OOS,B0,337105N1178932W002,13,1,12.02076923,15.7085878,-1.29,12.02076923,15.7085878,-1.29,,0.6227348799,-0.006789594718,20.53,15.7085878,12.02076923,0,0,0,0
T1_TEMPORAL_OOS,B0,337112N1177826W001,4,1,37.25,39.68311984,-17.25,37.25,39.68311984,-17.25,,-4.408027474,-0.2329826278,34.75,39.68311984,37.25,0,0,0,0
T1_TEMPORAL_OOS,B0,337141N1179955W001,12,1,3.33,3.89847406,0.008333333333,3.33,3.89847406,0.008333333333,,0.6498044657,-4.56930549e-06,6.3725,3.89847406,3.33,0,0,0,0
T1_TEMPORAL_OOS,B0,337148N1177696W001,7,1,0.3157142857,0.4813225827,-0.2471428571,0.3157142857,0.4813225827,-0.2471428571,,0.6161241453,-0.3580452207,0.5,0.4813225827,0.3157142857,0,0,0,0
T1_TEMPORAL_OOS,B0,337148N1177696W002,7,1,7.534285714,8.13996841,-2.394285714,7.534285714,8.13996841,-2.394285714,,-0.6090885013,-0.09471232966,12.625,8.13996841,7.534285714,0,0,0,0
T1_TEMPORAL_OOS,B0,337148N1177696W003,7,1,8.724285714,9.85122835,-2.621428571,8.724285714,9.85122835,-2.621428571,,-0.1153833921,-0.07620628847,13.84,9.85122835,8.724285714,0,0,0,0
T1_TEMPORAL_OOS,B0,337161N1179887W001,3,1,3.84,5.097025276,-3.84,3.84,5.097025276,-3.84,,-17.03280838,-1.312579001,3.565,5.097025276,3.84,0,0,0,0
T1_TEMPORAL_OOS,B0,337188N1180275W001,9,1,9.406666667,11.01275927,0.2222222222,9.406666667,11.01275927,0.2222222222,,0.4883431512,-0.0004073423375,17,11.01275927,9.406666667,0,0,0,0
T1_TEMPORAL_OOS,B0,337216N1178318W001,7,1,0.8014285714,0.987384713,-0.4128571429,0.8014285714,0.987384713,-0.4128571429,,0.49682749,-0.2118779078,1.185,0.987384713,0.8014285714,0,0,0,0
