fit_id,regime,gap_threshold_days,held_out_spatial_fold,model,target,feature,coefficient_standardized_scale,training_feature_mean,training_feature_scale,n_training_transitions,n_training_wells,fit_split,training_target_month_min,training_target_month_max,training_independence_classes,validation_used,test_used,hyperparameter_search
T2_SPATIOTEMPORAL_OOS_G90_F3_B2,T2_SPATIOTEMPORAL_OOS,90,3,B2,h_target,INTERCEPT,35.85345256270447,0.0,1.0,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B2,T2_SPATIOTEMPORAL_OOS,90,3,B2,h_target,h_prev,88.43008156465177,35.92942639040349,90.63248763309923,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B2,T2_SPATIOTEMPORAL_OOS,90,3,B2,h_target,delta_days,-0.8099844894346201,31.35518947655398,20.325885508337674,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B2,T2_SPATIOTEMPORAL_OOS,90,3,B2,h_target,season_sin,0.1049292354354337,-0.011220614487343057,0.7095657291138032,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B2,T2_SPATIOTEMPORAL_OOS,90,3,B2,h_target,season_cos,4.29847792534332,-0.032584780555900784,0.7037959973982852,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B2,T2_SPATIOTEMPORAL_OOS,90,3,B2,h_target,time_trend_years,-0.6236300848037405,2.7710337493270862,1.3853336798799132,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B3,T2_SPATIOTEMPORAL_OOS,90,3,B3,h_target,INTERCEPT,35.853452562704476,0.0,1.0,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B3,T2_SPATIOTEMPORAL_OOS,90,3,B3,h_target,h_prev,88.48327664328107,35.92942639040349,90.63248763309923,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B3,T2_SPATIOTEMPORAL_OOS,90,3,B3,h_target,delta_days,-0.5897074767726431,31.35518947655398,20.325885508337674,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B3,T2_SPATIOTEMPORAL_OOS,90,3,B3,h_target,season_sin,-0.20039885281882283,-0.011220614487343057,0.7095657291138032,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B3,T2_SPATIOTEMPORAL_OOS,90,3,B3,h_target,season_cos,4.176415557031375,-0.032584780555900784,0.7037959973982852,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B3,T2_SPATIOTEMPORAL_OOS,90,3,B3,h_target,time_trend_years,-0.7327250503005933,2.7710337493270862,1.3853336798799132,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B3,T2_SPATIOTEMPORAL_OOS,90,3,B3,h_target,log1p_interval_mean_discharge_cfs,-4.41595642854819,5.713285668914745,0.7615324838287139,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F3_B3,T2_SPATIOTEMPORAL_OOS,90,3,B3,h_target,log1p_antecedent_30d_mean_discharge_cfs,4.755828712916945,5.725868530863351,0.7695109746586702,4585,143,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F4_B1,T2_SPATIOTEMPORAL_OOS,90,4,B1,delta_h,INTERCEPT,0.13368283663258637,0.0,1.0,4597,133,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F4_B1,T2_SPATIOTEMPORAL_OOS,90,4,B1,delta_h,delta_days,-0.3415457708928338,32.09316024339545,19.069234324321734,4597,133,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
