year,simulation_id,facility_energy_mwh,it_energy_mwh,annual_pue,facility_peak_mw,facility_peak_to_mean,raw_evap_m3,arrival_cv,terminal_backlog_work_units,first_backlog_start_work_units,first_it_mw,last_it_mw,january_it_scale_jump_pct
2012,12,153000.00000000003,143419.58666221064,1.0667998950544577,21.615589467896445,1.2409891365098193,5284.67627130643,0.1870311355251483,5.595979722392364,0.0,16.192473540665997,16.80850245568613,139.12263318821334
2013,12,224000.00000000006,210364.61524719308,1.0648178627227038,31.785392487520685,1.2430358847798264,9502.329218824983,0.18867793316910636,25.10913825866457,5.595979722392364,25.681898757281306,26.80233885452891,52.79111762031722
2014,12,262000.0,244980.30727114683,1.0694737177793463,37.07727709995538,1.2396830053267525,9775.215514541169,0.18863429756991998,69.94457180444324,25.10913825866457,31.809198545613572,27.63095231257499,18.680682004132755
2015,12,284000.0,265152.58550583886,1.0710813905819754,40.114951000865375,1.237348488618242,12694.060100171297,0.18458668832195996,0.0,69.94457180444324,31.191007332683228,21.1293548423718,12.884300837101577
2016,12,326999.99999999994,303990.888203855,1.0756901364119673,46.36918078607214,1.2455868012992592,8719.996650561494,0.18900135096919815,41.093037580740585,0.0,35.410558739793544,36.07079420056137,67.58939874862104
2017,12,425999.9999999999,401625.9095595201,1.060688540904176,60.18717564482521,1.2376517808654202,21173.9246522624,0.19068110861765658,0.0,41.093037580740585,45.023747255470404,44.67353780207237,24.820504381269473
2018,12,487999.99999999994,448188.3146218432,1.0888280307168374,69.07267023565784,1.2399110476728743,17813.78356835198,0.18985847214123186,12.252729744536289,0.0,46.07430577129907,51.72820396830833,3.135565343924308
2019,12,572999.9999999998,531075.5732649192,1.0789424873701867,80.73864656386347,1.2343290469449288,12651.695937647966,0.1900674409803985,0.0,12.252729744536289,60.59362095105673,55.39128324552705,17.138458911467065
2020,12,686000.0,656389.5039847386,1.0451111662138184,97.05313245826136,1.242732821448058,27629.46873586794,0.1922224054241462,80.41551372063901,0.0,68.77253964638292,76.85808324234907,24.15769344346511
2021,12,898409.0000000002,854289.9202573412,1.0516441534618235,127.31050834168617,1.2413500455507132,51568.04426077529,0.18599545400057588,12.027221827848166,80.41551372063901,86.69725488515179,97.5310336874096,12.801739553896796
2022,12,982177.0,925972.9754176982,1.0606972623115147,138.98259253247178,1.2395805548128829,52395.83653691451,0.18955496484471993,0.0,12.027221827848166,98.22988404196829,102.64415753386908,0.7165415233868294
2023,12,1375320.9999999998,1280887.1511220215,1.0737253463704877,193.83117517680805,1.2345925747871507,52511.97752401014,0.18648507864579297,19.38898120283093,0.0,153.31687303396973,132.1758416293696,49.367364609505785
2024,12,1728291.0000000005,1621891.4528312855,1.065602138159725,243.90622385790982,1.239647877798287,84199.00959374648,0.18902887613070823,2.7025616741925838,19.38898120283093,159.72533856487317,194.4383065563459,20.843065265099142
2011,13,71000.0,66279.3241340543,1.0712239590192232,10.360120081504864,1.2782345339997552,2043.5198414341505,0.1732977361161599,0.0,2.930777646822011,7.6893354476889755,6.9747398142082675,
